#depth	ice_age	sigma_ice_age	air_age	sigma_air_age	sigma_delta_age	deporate	sigma_deporate	thinning	sigma_thinning	LID	sigma_LID	delta_depth	sigma_delta_depth	deporate_model	sigma_deporate_model	thinning_model	sigma_thinning_model	LID_model	sigma_LID_model	icelayerthick	sigma_icelayerthick	airlayerthick	sigma_airlayerthick
0.000000000000000000e+00	-5.182254311685170478e+01	9.514147050151890994e+00	-5.182254311685170478e+01	9.514147050151890994e+00	0.000000000000000000e+00	2.828138891072511096e-02	2.849472723126856601e-03	1.000140068926462567e+00	4.587455197517133340e-04	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	3.099000000000000019e-02	2.000000000000000389e-01	1.000140000000000029e+00	4.654276495501610280e-04	0.000000000000000000e+00	2.000000000000000111e-01	7.778479098468991937e-02	7.836874095641302787e-03	1.414268926994362574e-01	0.000000000000000000e+00
5.500000000000000444e-01	-4.475175211725572666e+01	9.306948112197488854e+00	-4.475175211725572666e+01	9.306948112197488854e+00	0.000000000000000000e+00	2.827529474445861571e-02	2.769259809838821047e-03	1.000060012652406405e+00	5.115638896054849069e-04	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	3.099000000000000019e-02	2.000000000000000111e-01	1.000059999999999949e+00	5.286371274728412974e-04	0.000000000000000000e+00	2.000000000000000111e-01	7.776180471651267245e-02	7.615594106874295707e-03	1.413850994845684550e-01	0.000000000000000000e+00
1.100000000000000089e+00	-3.767887100286965563e+01	9.146841570194995441e+00	-3.767887100286965563e+01	9.146841570194995441e+00	0.000000000000000000e+00	2.826710229029650787e-02	2.698372229058216068e-03	9.999849563871376912e-01	5.674904252365400208e-04	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	3.098999999999999325e-02	1.999999999999999833e-01	9.999850000000000128e-01	5.918466053955216211e-04	0.000000000000000000e+00	2.000000000000000111e-01	8.182448379949026906e-02	7.810538514204912706e-03	1.487717887263459438e-01	0.000000000000000000e+00
1.650000000000000133e+00	-3.095716651466576863e+01	9.035577381649430251e+00	-3.095716651466576863e+01	9.035577381649430251e+00	0.000000000000000000e+00	2.825933158539602544e-02	2.672965585342650021e-03	9.999149001298123229e-01	6.256903951116775690e-04	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	3.099000000000000365e-02	1.999999999999999556e-01	9.999149999999999983e-01	6.550560833182019448e-04	0.000000000000000000e+00	2.000000000000000111e-01	8.634053747161091197e-02	8.166204496604833468e-03	1.569827954029288930e-01	0.000000000000000000e+00
2.200000000000000178e+00	-2.458704170300540426e+01	8.966044109098156412e+00	-2.458704170300540426e+01	8.966044109098156412e+00	0.000000000000000000e+00	2.825641703213292374e-02	2.617250143186005372e-03	9.998288438828657476e-01	6.855693906122890639e-04	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	3.098999999999999325e-02	1.999999999999999556e-01	9.998289999999999678e-01	7.182655612408821600e-04	0.000000000000000000e+00	2.000000000000000111e-01	7.062895193377394243e-02	6.541555496132537076e-03	1.284162762432253524e-01	0.000000000000000000e+00
2.750000000000000000e+00	-1.679986682724462810e+01	8.926232094927033955e+00	-1.679986682724462810e+01	8.926232094927033955e+00	0.000000000000000000e+00	2.825859428082456992e-02	2.537300742580217948e-03	9.997467876447502233e-01	7.467303438884298050e-04	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	3.098999999999999325e-02	1.999999999999999833e-01	9.997470000000000523e-01	7.814750391635624837e-04	0.000000000000000000e+00	2.000000000000000111e-01	7.399189890369409217e-02	6.643100397084406028e-03	1.345307252794437081e-01	0.000000000000000000e+00
3.300000000000000266e+00	-9.366620645579985194e+00	8.928716371822000397e+00	-9.366620645579985194e+00	8.928716371822000397e+00	0.000000000000000000e+00	2.826072123481065609e-02	2.515456720635209607e-03	9.996637314161340715e-01	8.088769989995478384e-04	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	3.098999999999999325e-02	1.999999999999999833e-01	9.996639999999999970e-01	8.446845170862428073e-04	0.000000000000000000e+00	2.000000000000000389e-01	7.399132058232456288e-02	6.585308238761745404e-03	1.345296737860446068e-01	0.000000000000000000e+00
3.850000000000000533e+00	-1.933316365140001380e+00	8.967670925950008254e+00	-1.933316365140001380e+00	8.967670925950008254e+00	0.000000000000000000e+00	2.838846585643345008e-02	2.464360432660839956e-03	9.995696752004352703e-01	8.717869269223770066e-04	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	3.111999999999997060e-02	2.000000000000000111e-01	9.995699999999999585e-01	9.078939950089230226e-04	0.000000000000000000e+00	2.000000000000000389e-01	6.502885113243492277e-02	5.644494226044038422e-03	1.182342747862453608e-01	0.000000000000000000e+00
4.400000000000000355e+00	6.524467993988437797e+00	9.051911337275301506e+00	6.524467993988437797e+00	9.051911337275301506e+00	0.000000000000000000e+00	2.846813713779893645e-02	2.398266484085689529e-03	9.994676189983673353e-01	9.353024526800138598e-04	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	3.118999999999999204e-02	2.000000000000000389e-01	9.994680000000000231e-01	9.711034729316034547e-04	0.000000000000000000e+00	2.000000000000000389e-01	5.795978733825393053e-02	4.882201270153086609e-03	1.053814315240980959e-01	0.000000000000000000e+00
4.950000000000000178e+00	1.601380577899779212e+01	9.187016328244103747e+00	1.601380577899779212e+01	9.187016328244103747e+00	0.000000000000000000e+00	2.848538791623873856e-02	2.398581572971957097e-03	9.993675628069055294e-01	9.993125614598584536e-04	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	3.118999999999999204e-02	2.000000000000000666e-01	9.993680000000000341e-01	1.034312950854283670e-03	0.000000000000000000e+00	2.000000000000000111e-01	6.262828256269628580e-02	5.272903709111666747e-03	1.138696046594478289e-01	0.000000000000000000e+00
5.500000000000000000e+00	2.479578059124659717e+01	9.346082322414494215e+00	2.479578059124659717e+01	9.346082322414494215e+00	0.000000000000000000e+00	2.851553920878461407e-02	2.297066375276438782e-03	9.992605066301560868e-01	1.063716524884507960e-03	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	3.118999999999999204e-02	1.999999999999999833e-01	9.992609999999999548e-01	1.097522428776963885e-03	0.000000000000000000e+00	2.000000000000000111e-01	5.804426514201653509e-02	4.675084546788697143e-03	1.055350275309389629e-01	0.000000000000000000e+00
6.050000000000000711e+00	3.427130756457151506e+01	9.545383089485664385e+00	3.427130756457151506e+01	9.545383089485664385e+00	0.000000000000000000e+00	2.854630624699547661e-02	2.289746076855100898e-03	9.991624504605006729e-01	1.128459916222041438e-03	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	3.118999999999999204e-02	1.999999999999999278e-01	9.991630000000000233e-01	1.160731906699644317e-03	0.000000000000000000e+00	2.000000000000000111e-01	6.033587525430935544e-02	4.838901047648908743e-03	1.097015913714716601e-01	0.000000000000000000e+00
6.600000000000000533e+00	4.338694561045727482e+01	9.758354498632792584e+00	4.338694561045727482e+01	9.758354498632792584e+00	0.000000000000000000e+00	2.858398735327603857e-02	2.233080644901906317e-03	9.990653943012700600e-01	1.193478916455483320e-03	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	3.118999999999999204e-02	1.999999999999999833e-01	9.990660000000000096e-01	1.223941384622324532e-03	0.000000000000000000e+00	2.000000000000000111e-01	6.544369516230312545e-02	5.111818922669097986e-03	1.189885366587329213e-01	0.000000000000000000e+00
7.150000000000000355e+00	5.179111653381325198e+01	9.970041341376740363e+00	5.179111653381325198e+01	9.970041341376740363e+00	0.000000000000000000e+00	2.826842620945422060e-02	2.165472824391186275e-03	9.991423380376777130e-01	1.258947059845383267e-03	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	3.079999999999998017e-02	2.000000000000000944e-01	9.991430000000000033e-01	1.287150862545004748e-03	0.000000000000000000e+00	2.000000000000000111e-01	5.974734139484238343e-02	4.576026047587051886e-03	1.086315298088042502e-01	0.000000000000000000e+00
7.700000000000001066e+00	6.099654705440003966e+01	1.021271339509673837e+01	6.099654705440003966e+01	1.021271339509673837e+01	0.000000000000000000e+00	2.805656421934101322e-02	2.162143165197657254e-03	9.990432818919318114e-01	1.324398644409840011e-03	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	3.052000000000000199e-02	2.000000000000001499e-01	9.990440000000000431e-01	1.350360340467685180e-03	0.000000000000000000e+00	2.000000000000000111e-01	6.166545005731487866e-02	4.751243294117928409e-03	1.121190001042091378e-01	0.000000000000000000e+00
8.250000000000000000e+00	6.991564193636071423e+01	1.045747836841762535e+01	6.991564193636071423e+01	1.045747836841762535e+01	0.000000000000000000e+00	2.811534616027447364e-02	2.086460745007106838e-03	9.989352257643051569e-01	1.390002092476105757e-03	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	3.052000000000000199e-02	2.000000000000000111e-01	9.989360000000000461e-01	1.413569818390365395e-03	0.000000000000000000e+00	2.000000000000000111e-01	5.516775913158035449e-02	4.093133252008402528e-03	1.003050166028731233e-01	0.000000000000000000e+00
8.800000000000000711e+00	7.988523302829176487e+01	1.073767179971222951e+01	7.988523302829176487e+01	1.073767179971222951e+01	0.000000000000000000e+00	2.817536991756112996e-02	2.120182840481207170e-03	9.988321696446781361e-01	1.455751944776337379e-03	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	3.052000000000000199e-02	1.999999999999998446e-01	9.988329999999999709e-01	1.476779296313045827e-03	0.000000000000000000e+00	2.000000000000000111e-01	5.953217367592496256e-02	4.478750099243179739e-03	1.082403157744088046e-01	0.000000000000000000e+00
9.350000000000001421e+00	8.912393482665098077e+01	1.100137807728540729e+01	8.912393482665098077e+01	1.100137807728540729e+01	0.000000000000000000e+00	2.824465161863865328e-02	2.057641685883664778e-03	9.987321135339821687e-01	1.521626179237090112e-03	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	3.052000000000000199e-02	1.999999999999998723e-01	9.987329999999999819e-01	1.539988774235725826e-03	0.000000000000000000e+00	2.000000000000000111e-01	5.967258186461529140e-02	4.346080717968345795e-03	1.084956033902099160e-01	0.000000000000000000e+00
9.900000000000000355e+00	9.834089817587951643e+01	1.126781911319801921e+01	9.834089817587951643e+01	1.126781911319801921e+01	0.000000000000000000e+00	2.831629999502436809e-02	2.060952252762986332e-03	9.986310574354861913e-01	1.587602351614633266e-03	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	3.052000000000000199e-02	1.999999999999999278e-01	9.986319999999999641e-01	1.603198252158406258e-03	0.000000000000000000e+00	2.000000000000000111e-01	5.981790040909792938e-02	4.352575946025944234e-03	1.087598189256325648e-01	0.000000000000000000e+00
1.045000000000000107e+01	1.075354703062705823e+02	1.153404592513786220e+01	1.075354703062705823e+02	1.153404592513786220e+01	0.000000000000000000e+00	2.644487396287358016e-02	1.914824130728547862e-03	9.985260013523594713e-01	1.653661255231304904e-03	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	2.841999999999996612e-02	1.999999999999999556e-01	9.985270000000000534e-01	1.666407730081086690e-03	0.000000000000000000e+00	2.000000000000000111e-01	5.378979455340048704e-02	3.893712282936814730e-03	9.779962646072824783e-02	0.000000000000000000e+00
1.100000000000000000e+01	1.177604582350491569e+02	1.183201813870981489e+01	1.177604582350491569e+02	1.183201813870981489e+01	0.000000000000000000e+00	2.608614624619051345e-02	1.861999544433636010e-03	9.984189452831643274e-01	1.719793640552179500e-03	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	2.793999999999999956e-02	1.999999999999999556e-01	9.984199999999999742e-01	1.729617208003766905e-03	0.000000000000000000e+00	2.000000000000000111e-01	5.305444109116742857e-02	3.785799622938520060e-03	9.646262016575872511e-02	0.000000000000000000e+00
1.155000000000000071e+01	1.281271681407268943e+02	1.213370357525335130e+01	1.281271681407268943e+02	1.213370357525335130e+01	0.000000000000000000e+00	2.617502539495042413e-02	1.888118248134881176e-03	9.983198892171120109e-01	1.786006851721874157e-03	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	2.793999999999999956e-02	1.999999999999999556e-01	9.983210000000000139e-01	1.792826685926447120e-03	0.000000000000000000e+00	2.000000000000000111e-01	5.748836408395648773e-02	4.145571779900980407e-03	1.045242983344663729e-01	0.000000000000000000e+00
1.210000000000000142e+01	1.376943215771470932e+02	1.241281106849173455e+01	1.376943215771470932e+02	1.241281106849173455e+01	0.000000000000000000e+00	2.627216229652954912e-02	1.848615560960484511e-03	9.982158331680478502e-01	1.852269659415581955e-03	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	2.793999999999998915e-02	1.999999999999999833e-01	9.982170000000000210e-01	1.856036163849127335e-03	0.000000000000000000e+00	2.000000000000000111e-01	5.342189362174337708e-02	3.757666574601950873e-03	9.713071567589724731e-02	0.000000000000000000e+00
1.265000000000000036e+01	1.479897260024245611e+02	1.271233330255977734e+01	1.479897260024245611e+02	1.271233330255977734e+01	0.000000000000000000e+00	2.637463584852549336e-02	1.899354069709390186e-03	9.981067395240694751e-01	1.909284246777011827e-03	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	2.793999999999999956e-02	2.000000000000000111e-01	9.981079999999999952e-01	1.940026184250075994e-03	0.000000000000000000e+00	2.000000000000000111e-01	5.170922643084718134e-02	3.722461339277290115e-03	9.401677532881289046e-02	0.000000000000000000e+00
1.320000000000000107e+01	1.586261256928267755e+02	1.302104068188254971e+01	1.586261256928267755e+02	1.302104068188254971e+01	0.000000000000000000e+00	2.662437854054897426e-02	1.850113105792969238e-03	9.981406449858638563e-01	1.970761977373144350e-03	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	2.809999999999995834e-02	2.000000000000000111e-01	9.981419999999999737e-01	2.024414364250075836e-03	0.000000000000000000e+00	2.000000000000000111e-01	5.413401336869225200e-02	3.760163536872434924e-03	9.842547885216750003e-02	0.000000000000000000e+00
1.375000000000000178e+01	1.687860965831078772e+02	1.331154026052179873e+01	1.687860965831078772e+02	1.331154026052179873e+01	0.000000000000000000e+00	2.680834140441139268e-02	1.922408321847220332e-03	9.980325506474428954e-01	2.035970262656937226e-03	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	2.819000000000001366e-02	2.000000000000000111e-01	9.980339999999999767e-01	2.108802544250076329e-03	0.000000000000000000e+00	2.000000000000000111e-01	5.255562826777954166e-02	3.767134888292229377e-03	9.555568775959927263e-02	0.000000000000000000e+00
