#Depth	LID [m]	uncertainty %
		
1.800000000000000000e+01	89.6325	0.2
1.900000000000000000e+01	89.6507	0.2
2.000000000000000000e+01	89.6603	0.2
2.100000000000000000e+01	89.6628	0.2
2.200000000000000000e+01	89.7	0.2
2.300000000000000000e+01	89.7177	0.2
2.400000000000000000e+01	89.7194	0.2
2.500000000000000000e+01	89.7274	0.2
2.600000000000000000e+01	89.7375	0.2
2.700000000000000000e+01	89.7437	0.2
2.800000000000000000e+01	89.7411	0.2
2.900000000000000000e+01	89.7527	0.2
3.000000000000000000e+01	89.7598	0.2
3.100000000000000000e+01	89.7419	0.2
3.200000000000000000e+01	89.7371	0.2
3.300000000000000000e+01	89.7188	0.2
3.400000000000000000e+01	89.7057	0.2
3.500000000000000000e+01	89.6959	0.2
3.600000000000000000e+01	89.6861	0.2
3.700000000000000000e+01	89.637	0.2
3.800000000000000000e+01	89.6089	0.2
3.900000000000000000e+01	89.615	0.2
4.000000000000000000e+01	89.6268	0.2
4.100000000000000000e+01	89.6136	0.2
4.200000000000000000e+01	89.6172	0.2
4.300000000000000000e+01	89.6231	0.2
4.400000000000000000e+01	89.6204	0.2
4.500000000000000000e+01	89.6273	0.2
4.600000000000000000e+01	89.6296	0.2
4.700000000000000000e+01	89.6077	0.2
4.800000000000000000e+01	89.6234	0.2
4.900000000000000000e+01	89.6311	0.2
5.000000000000000000e+01	89.652	0.2
5.100000000000000000e+01	89.6704	0.2
5.200000000000000000e+01	89.6827	0.2
5.300000000000000000e+01	89.7013	0.2
5.400000000000000000e+01	89.7003	0.2
5.500000000000000000e+01	89.6965	0.2
5.600000000000000000e+01	89.7252	0.2
5.700000000000000000e+01	89.7173	0.2
5.800000000000000000e+01	89.7213	0.2
5.900000000000000000e+01	89.7138	0.2
6.000000000000000000e+01	89.7168	0.2
6.100000000000000000e+01	89.6851	0.2
6.200000000000000000e+01	89.7034	0.2
6.300000000000000000e+01	89.7113	0.2
6.400000000000000000e+01	89.6956	0.2
6.500000000000000000e+01	89.6841	0.2
6.600000000000000000e+01	89.6862	0.2
6.700000000000000000e+01	89.6847	0.2
6.800000000000000000e+01	89.6762	0.2
6.900000000000000000e+01	89.6626	0.2
7.000000000000000000e+01	89.6524	0.2
7.100000000000000000e+01	89.6679	0.2
7.200000000000000000e+01	89.677	0.2
7.300000000000000000e+01	89.6852	0.2
7.400000000000000000e+01	89.7151	0.2
7.500000000000000000e+01	89.7238	0.2
7.600000000000000000e+01	89.7194	0.2
7.700000000000000000e+01	89.741	0.2
7.800000000000000000e+01	89.7419	0.2
7.900000000000000000e+01	89.765	0.2
8.000000000000000000e+01	89.7935	0.2
8.100000000000000000e+01	89.7965	0.2
8.200000000000000000e+01	89.816	0.2
8.300000000000000000e+01	89.8259	0.2
8.400000000000000000e+01	89.8368	0.2
8.500000000000000000e+01	89.8143	0.2
8.600000000000000000e+01	89.8147	0.2
8.700000000000000000e+01	89.8155	0.2
8.800000000000000000e+01	89.8192	0.2
8.900000000000000000e+01	89.8407	0.2
9.000000000000000000e+01	89.8295	0.2
9.100000000000000000e+01	89.8094	0.2
9.200000000000000000e+01	89.7867	0.2
9.300000000000000000e+01	89.7658	0.2
9.400000000000000000e+01	89.7694	0.2
9.500000000000000000e+01	89.7864	0.2
9.600000000000000000e+01	89.7701	0.2
9.700000000000000000e+01	89.7592	0.2
9.800000000000000000e+01	89.7535	0.2
9.900000000000000000e+01	89.7347	0.2
1.000000000000000000e+02	89.7214	0.2
1.010000000000000000e+02	89.717	0.2
1.020000000000000000e+02	89.7141	0.2
1.030000000000000000e+02	89.7305	0.2
1.040000000000000000e+02	89.7476	0.2
1.050000000000000000e+02	89.7649	0.2
1.060000000000000000e+02	89.7524	0.2
1.070000000000000000e+02	89.732	0.2
1.080000000000000000e+02	89.7296	0.2
1.090000000000000000e+02	89.7189	0.2
1.100000000000000000e+02	89.7248	0.2
1.110000000000000000e+02	89.7278	0.2
1.120000000000000000e+02	89.7312	0.2
1.130000000000000000e+02	89.7228	0.2
1.140000000000000000e+02	89.6929	0.2
1.150000000000000000e+02	89.6848	0.2
1.160000000000000000e+02	89.6633	0.2
1.170000000000000000e+02	89.6688	0.2
1.180000000000000000e+02	89.686	0.2
1.190000000000000000e+02	89.6803	0.2
1.200000000000000000e+02	89.6495	0.2
1.210000000000000000e+02	89.6415	0.2
1.220000000000000000e+02	89.6554	0.2
1.230000000000000000e+02	89.6668	0.2
1.240000000000000000e+02	89.676	0.2
1.250000000000000000e+02	89.693	0.2
1.260000000000000000e+02	89.6991	0.2
1.270000000000000000e+02	89.7092	0.2
1.280000000000000000e+02	89.7363	0.2
1.290000000000000000e+02	89.7339	0.2
1.300000000000000000e+02	89.7139	0.2
1.310000000000000000e+02	89.7391	0.2
1.320000000000000000e+02	89.7448	0.2
1.330000000000000000e+02	89.7548	0.2
1.340000000000000000e+02	89.7734	0.2
1.350000000000000000e+02	89.7783	0.2
1.360000000000000000e+02	89.7888	0.2
1.370000000000000000e+02	89.7763	0.2
1.380000000000000000e+02	89.7753	0.2
1.390000000000000000e+02	89.79	0.2
1.400000000000000000e+02	89.7897	0.2
1.410000000000000000e+02	89.8083	0.2
1.420000000000000000e+02	89.8102	0.2
1.430000000000000000e+02	89.8119	0.2
1.440000000000000000e+02	89.7957	0.2
1.450000000000000000e+02	89.7991	0.2
1.460000000000000000e+02	89.8091	0.2
1.470000000000000000e+02	89.8188	0.2
1.480000000000000000e+02	89.7976	0.2
1.490000000000000000e+02	89.8029	0.2
1.500000000000000000e+02	89.7933	0.2
1.510000000000000000e+02	89.7762	0.2
1.520000000000000000e+02	89.7549	0.2
1.530000000000000000e+02	89.7293	0.2
1.540000000000000000e+02	89.7346	0.2
1.550000000000000000e+02	89.7416	0.2
1.560000000000000000e+02	89.7378	0.2
1.570000000000000000e+02	89.7485	0.2
1.580000000000000000e+02	89.7531	0.2
1.590000000000000000e+02	89.7413	0.2
1.600000000000000000e+02	89.7426	0.2
1.610000000000000000e+02	89.7457	0.2
1.620000000000000000e+02	89.7623	0.2
1.630000000000000000e+02	89.7882	0.2
1.640000000000000000e+02	89.7951	0.2
1.650000000000000000e+02	89.8047	0.2
1.660000000000000000e+02	89.8019	0.2
1.670000000000000000e+02	89.8023	0.2
1.680000000000000000e+02	89.7919	0.2
1.690000000000000000e+02	89.7961	0.2
1.700000000000000000e+02	89.8191	0.2
1.710000000000000000e+02	89.8446	0.2
1.720000000000000000e+02	89.8409	0.2
1.730000000000000000e+02	89.8356	0.2
1.740000000000000000e+02	89.8184	0.2
1.750000000000000000e+02	89.7871	0.2
1.760000000000000000e+02	89.7933	0.2
1.770000000000000000e+02	89.807	0.2
1.780000000000000000e+02	89.813	0.2
1.790000000000000000e+02	89.8004	0.2
1.800000000000000000e+02	89.7897	0.2
1.810000000000000000e+02	89.78	0.2
1.820000000000000000e+02	89.7736	0.2
1.830000000000000000e+02	89.7594	0.2
1.840000000000000000e+02	89.7593	0.2
1.850000000000000000e+02	89.76	0.2
1.860000000000000000e+02	89.7712	0.2
1.870000000000000000e+02	89.7832	0.2
