#depth	ice_age	sigma_ice_age	air_age	sigma_air_age	sigma_delta_age	deporate	sigma_deporate	thinning	sigma_thinning	LID	sigma_LID	delta_depth	sigma_delta_depth	deporate_model	sigma_deporate_model	thinning_model	sigma_thinning_model	LID_model	sigma_LID_model	icelayerthick	sigma_icelayerthick	airlayerthick	sigma_airlayerthick
1.800000000000000000e+01	7.158391538578570135e+01	8.909586283223401182e+00	nan	nan	nan	6.682478442146567998e-02	7.064830392349509026e-03	9.941022122951063134e-01	8.842210539665744037e-04	nan	nan	nan	nan	6.439430000000000154e-02	2.000784582600504402e-01	9.940799999999999637e-01	9.107927566461977405e-04	8.963249999999999318e+01	2.000000000000000111e-01	1.142366462078948514e-01	1.207382876101884342e-02	nan	0.000000000000000000e+00
1.900000000000000000e+01	8.033767377414156385e+01	8.674467056285296351e+00	nan	nan	nan	6.998519193859908949e-02	7.169108772662675585e-03	9.940018486537979259e-01	1.154208866691825829e-03	nan	nan	nan	nan	6.738280000000000658e-02	2.002269018476795504e-01	9.939700000000000202e-01	1.204252275872881237e-03	8.965070000000000050e+01	2.000000000000000111e-01	1.167798564796505151e-01	1.195766378256130948e-02	nan	0.000000000000000000e+00
2.000000000000000000e+01	8.890079441964650186e+01	8.527647135378721543e+00	nan	nan	nan	5.931281154429651759e-02	5.987357817652526858e-03	9.938714817203658791e-01	1.438059948900886897e-03	nan	nan	nan	nan	5.705279999999998686e-02	2.003968784863705277e-01	9.938299999999999912e-01	1.497711795099564841e-03	8.966030000000000655e+01	2.000000000000000111e-01	9.770463832209724808e-02	9.857529731946529719e-03	nan	0.000000000000000000e+00
2.100000000000000000e+01	9.913572304916927180e+01	8.457723182190250100e+00	nan	nan	nan	7.281985968205210991e-02	7.069291940567764415e-03	9.937311116507416831e-01	1.728913719356776728e-03	nan	nan	nan	nan	6.996760000000001867e-02	2.006042140694279385e-01	9.936800000000000077e-01	1.791171314326248445e-03	8.966280000000000427e+01	2.000000000000000111e-01	1.188033533170087530e-01	1.152529091588936141e-02	nan	0.000000000000000000e+00
2.200000000000000000e+01	1.075529938759585775e+02	8.476920322703277222e+00	nan	nan	nan	7.998617474107967695e-02	7.734088483583611597e-03	9.935807381539593086e-01	2.023700526897010635e-03	nan	nan	nan	nan	7.677929999999999477e-02	2.007842412615711003e-01	9.935199999999999587e-01	2.084630833552932050e-03	8.970000000000000284e+01	2.000000000000000111e-01	1.288535114359913858e-01	1.244908728660727194e-02	nan	0.000000000000000000e+00
2.300000000000000000e+01	1.153137447383574994e+02	8.550924338472034592e+00	nan	nan	nan	7.086085238947556486e-02	6.578149433174577954e-03	9.934303616473670884e-01	2.320894881398270337e-03	nan	nan	nan	nan	6.794200000000000239e-02	2.009679902757229575e-01	9.933600000000000207e-01	2.378090352779615654e-03	8.971769999999999357e+01	2.000000000000000111e-01	1.134312530569939748e-01	1.051954950242247472e-02	nan	0.000000000000000000e+00
2.400000000000000000e+01	1.241296572232310211e+02	8.691235922426628235e+00	nan	nan	nan	6.610948836683397389e-02	6.051610257152666150e-03	9.932699813256234966e-01	2.619618995782105851e-03	nan	nan	nan	nan	6.330510000000000304e-02	2.011716832915349806e-01	9.931900000000000173e-01	2.671549872006298825e-03	8.971939999999999316e+01	2.000000000000000111e-01	1.047724640806269036e-01	9.579846956591172094e-03	nan	0.000000000000000000e+00
2.500000000000000000e+01	1.336741497459081245e+02	8.899532699269981251e+00	nan	nan	nan	7.494866658502470635e-02	6.638644051620944467e-03	9.930595932886452371e-01	2.919239680240261810e-03	nan	nan	nan	nan	7.167479999999998297e-02	2.013687180806461863e-01	9.929700000000000193e-01	2.965009391232982430e-03	8.972740000000000293e+01	2.000000000000000111e-01	1.181941204363423925e-01	1.045514622372438994e-02	nan	0.000000000000000000e+00
2.600000000000000000e+01	1.421348074868199092e+02	9.124322520448782114e+00	nan	nan	nan	6.871619313310453614e-02	5.967808059464437508e-03	9.928492010779694787e-01	3.219554283725939350e-03	nan	nan	nan	nan	6.562740000000000240e-02	2.015619104939123940e-01	9.927500000000000213e-01	3.258468910459666034e-03	8.973749999999999716e+01	2.000000000000000111e-01	1.076366068832745743e-01	9.333823665682116841e-03	nan	0.000000000000000000e+00
2.700000000000000000e+01	1.514253270317591102e+02	9.403184118831079630e+00	nan	nan	nan	6.192261446157481392e-02	5.236574741782975238e-03	9.926388046935352705e-01	3.520351798060693607e-03	nan	nan	nan	nan	5.905320000000002789e-02	2.017630398204338649e-01	9.925300000000000233e-01	3.551928429686349638e-03	8.974370000000000402e+01	2.000000000000000111e-01	9.569064480934234840e-02	8.078326743800852763e-03	nan	0.000000000000000000e+00
