#depth	ice_age	sigma_ice_age	air_age	sigma_air_age	sigma_delta_age	deporate	sigma_deporate	thinning	sigma_thinning	LID	sigma_LID	delta_depth	sigma_delta_depth	deporate_model	sigma_deporate_model	thinning_model	sigma_thinning_model	LID_model	sigma_LID_model	icelayerthick	sigma_icelayerthick	airlayerthick	sigma_airlayerthick
8.000000000000000000e+00	-1.150912148872885155e+01	5.333813371906012790e+00	nan	nan	nan	2.818883198544809288e-01	1.956221398217444438e-02	9.985809939318093242e-01	4.460269992480470742e-04	nan	nan	nan	nan	3.661119999999999930e-01	2.000000000000000666e-01	9.986000000000000432e-01	4.578218696648327351e-04	7.036914285714290429e+01	2.000000000000000111e-01	5.672548734919873326e-01	3.935719332413574467e-02	nan	0.000000000000000000e+00
9.000000000000000000e+00	-9.746245492892871454e+00	5.233480993594295860e+00	nan	nan	nan	2.557881789277299256e-01	1.744983659705637291e-02	9.983769964820985443e-01	5.543156713060199900e-04	nan	nan	nan	nan	3.322499999999999343e-01	2.000000000000000666e-01	9.983999999999999542e-01	5.793193641631820458e-04	7.036914285714290429e+01	2.000000000000000111e-01	4.905303316010430903e-01	3.345363404674613766e-02	nan	0.000000000000000000e+00
1.000000000000000000e+01	-7.707635573020847453e+00	5.118677170121739728e+00	nan	nan	nan	2.614227937806157254e-01	1.753156385136426729e-02	9.981730006514879516e-01	6.696024179063185360e-04	nan	nan	nan	nan	3.396090000000000497e-01	2.000000000000000666e-01	9.981999999999999762e-01	7.008168586615313566e-04	7.036914285714290429e+01	2.000000000000000111e-01	4.879787535165084900e-01	3.271185778846747577e-02	nan	0.000000000000000000e+00
1.100000000000000000e+01	-5.658366024308477904e+00	5.004481512815339705e+00	nan	nan	nan	2.883260460714536233e-01	1.904636279950546254e-02	9.978690095455350351e-01	7.887203165727333298e-04	nan	nan	nan	nan	3.746009999999999618e-01	2.000000000000000666e-01	9.979000000000000092e-01	8.223143531598806674e-04	7.036914285714290429e+01	2.000000000000000111e-01	5.298917716667650435e-01	3.498669088679902395e-02	nan	0.000000000000000000e+00
1.200000000000000000e+01	-3.771188201458883782e+00	4.900298450733339806e+00	nan	nan	nan	2.468298508624186260e-01	1.607683415038580269e-02	9.976650173538578192e-01	9.102585243688514523e-04	nan	nan	nan	nan	3.207260000000000666e-01	2.000000000000000666e-01	9.977000000000000313e-01	9.438118476582299781e-04	7.036914285714290429e+01	2.000000000000000111e-01	4.507413238227903074e-01	2.934121051755246568e-02	nan	0.000000000000000000e+00
1.300000000000000000e+01	-1.552620816691758776e+00	4.778920717292407083e+00	nan	nan	nan	2.180035129745838407e-01	1.399854257526052075e-02	9.974610267812502595e-01	1.033300474138684928e-03	nan	nan	nan	nan	2.833090000000000330e-01	2.000000000000000666e-01	9.975000000000000533e-01	1.065309342156579289e-03	7.036914285714290429e+01	2.000000000000000111e-01	3.841458922157647282e-01	2.465034904671106059e-02	nan	0.000000000000000000e+00
1.400000000000000000e+01	1.050556830821196996e+00	4.637889787169465095e+00	nan	nan	nan	2.760285626508306445e-01	1.752528661266487126e-02	9.972570378277022529e-01	1.157349296076135622e-03	nan	nan	nan	nan	3.587650000000000006e-01	2.000000000000000389e-01	9.972999999999999643e-01	1.186806836654928600e-03	7.036914285714290429e+01	2.000000000000000111e-01	4.714310638099380446e-01	2.990874270866681478e-02	nan	0.000000000000000000e+00
1.500000000000000000e+01	3.171757737520803033e+00	4.524000626638980727e+00	nan	nan	nan	2.459319354353890763e-01	1.548694499309065907e-02	9.970530504932044735e-01	1.282097093615844731e-03	nan	nan	nan	nan	3.196889999999998899e-01	2.000000000000000389e-01	9.970999999999999863e-01	1.308304331153277910e-03	7.036914285714290429e+01	1.999999999999999833e-01	4.151550630494929006e-01	2.612123831672389512e-02	nan	0.000000000000000000e+00
1.600000000000000000e+01	5.580496276452663551e+00	4.395740751861554330e+00	nan	nan	nan	2.437406208224247028e-01	1.526044976004642395e-02	9.967490698871084298e-01	1.407202562269794285e-03	nan	nan	nan	nan	3.168850000000000833e-01	2.000000000000000389e-01	9.968000000000000194e-01	1.429801825651627221e-03	7.036914285714290429e+01	1.999999999999999833e-01	4.058702293379033432e-01	2.538782697756992654e-02	nan	0.000000000000000000e+00
1.700000000000000000e+01	8.044337986723704148e+00	4.265705946563013384e+00	nan	nan	nan	2.344032108743280274e-01	1.463827963709529896e-02	9.965450861914357805e-01	1.532800051765779124e-03	nan	nan	nan	nan	3.047900000000001164e-01	2.000000000000000389e-01	9.966000000000000414e-01	1.551299320149976532e-03	7.036914285714290429e+01	1.999999999999999833e-01	3.846171304118064516e-01	2.399518768766250795e-02	nan	0.000000000000000000e+00
1.800000000000000000e+01	1.064432618519346008e+01	4.129798325059986119e+00	nan	nan	nan	2.512767509079212869e-01	1.570772737943463768e-02	9.962411100256499674e-01	1.658499855998324000e-03	nan	nan	nan	nan	3.267780000000000129e-01	2.000000000000000389e-01	9.962999999999999634e-01	1.672796814648325843e-03	7.036914285714290429e+01	1.999999999999999833e-01	4.063214854359014083e-01	2.537317149248930967e-02	nan	0.000000000000000000e+00
1.900000000000000000e+01	1.310543158041321021e+01	4.002499134127742053e+00	nan	nan	nan	2.144014283388706033e-01	1.346906964011523530e-02	9.960371299687571511e-01	1.784554113484246567e-03	nan	nan	nan	nan	2.788659999999998362e-01	2.000000000000000389e-01	9.960999999999999854e-01	1.794294309146675153e-03	7.036914285714290429e+01	1.999999999999999833e-01	3.419870850610316482e-01	2.146070715633629014e-02	nan	0.000000000000000000e+00
