#depth	accumulation rate in meters of ice equivalent (from Lucie)	Uncertainty %
0	0.08743	0.2
1	0.08743	0.2
2	0.08743	0.2
3	0.08743	0.2
4	0.08743	0.2
5	0.08743	0.2
6	0.08743	0.2
7	0.08743	0.2
8	0.08743	0.2
9	0.08743	0.2
10	0.08743	0.2
11	0.08743	0.2
12	0.08743	0.2
13	0.08743	0.2
14	0.08743	0.2
15	0.08743	0.2
16	0.08739	0.2
17	0.07904	0.2
18	0.07904	0.2
19	0.07904	0.2
20	0.07904	0.2
21	0.07904	0.2
22	0.07904	0.2
23	0.07904	0.2
24	0.07904	0.2
25	0.07904	0.2
26	0.07904	0.2
27	0.07904	0.2
28	0.07908	0.2
29	0.08069	0.2
30	0.08069	0.2
31	0.08069	0.2
32	0.08069	0.2
33	0.08069	0.2
34	0.08069	0.2
35	0.08069	0.2
36	0.08069	0.2
37	0.08069	0.2
38	0.08069	0.2
39	0.08063	0.2
40	0.07925	0.2
41	0.07925	0.2
42	0.07925	0.2
43	0.07925	0.2
44	0.07925	0.2
45	0.07925	0.2
46	0.07925	0.2
47	0.07925	0.2
48	0.07925	0.2
49	0.07905	0.2
50	0.07617	0.2
51	0.07617	0.2
52	0.07617	0.2
53	0.07617	0.2
54	0.07617	0.2
55	0.07617	0.2
56	0.07617	0.2
57	0.07617	0.2
58	0.0759	0.2
59	0.07273	0.2
60	0.07273	0.2
61	0.07273	0.2
62	0.07273	0.2
63	0.07273	0.2
64	0.07273	0.2
65	0.07273	0.2
66	0.07299	0.2
67	0.07677	0.2
68	0.07677	0.2
69	0.07677	0.2
70	0.07677	0.2
71	0.07677	0.2
72	0.07677	0.2
73	0.07677	0.2
74	0.07685	0.2
75	0.07871	0.2
76	0.07871	0.2
77	0.07871	0.2
78	0.07871	0.2
79	0.07871	0.2
80	0.07871	0.2
81	0.07871	0.2
82	0.07867	0.2
83	0.07737	0.2
84	0.07737	0.2
85	0.07737	0.2
86	0.07737	0.2
87	0.07737	0.2
88	0.07737	0.2
89	0.07737	0.2
90	0.07744	0.2
91	0.07832	0.2
92	0.07832	0.2
93	0.07832	0.2
94	0.07832	0.2
95	0.07832	0.2
96	0.07832	0.2
97	0.07832	0.2
98	0.07883	0.2
99	0.08298	0.2
100	0.08298	0.2
101	0.08298	0.2
102	0.08298	0.2
103	0.08298	0.2
104	0.08298	0.2
105	0.08297	0.2
106	0.07851	0.2
107	0.07851	0.2
108	0.07851	0.2
109	0.07851	0.2
110	0.07851	0.2
111	0.07851	0.2
112	0.07851	0.2
113	0.07842	0.2
114	0.07749	0.2
115	0.07749	0.2
116	0.07749	0.2
117	0.07749	0.2
118	0.07749	0.2
119	0.07749	0.2
120	0.07757	0.2
121	0.07862	0.2
122	0.07862	0.2
123	0.07862	0.2
124	0.07862	0.2
125	0.07862	0.2
126	0.07862	0.2
127	0.07873	0.2
128	0.08129	0.2
129	0.08129	0.2
130	0.08129	0.2
131	0.08129	0.2
132	0.08129	0.2
133	0.08129	0.2
134	0.08129	0.2
135	0.08066	0.2
136	0.07582	0.2
137	0.07582	0.2
138	0.07582	0.2
139	0.07582	0.2
140	0.07582	0.2
141	0.07584	0.2
142	0.08367	0.2
143	0.08367	0.2
144	0.08367	0.2
145	0.08367	0.2
146	0.08367	0.2
147	0.08367	0.2
148	0.08367	0.2
149	0.08324	0.2
150	0.07741	0.2
151	0.07741	0.2
152	0.07741	0.2
153	0.07741	0.2
154	0.07741	0.2
155	0.07741	0.2
156	0.07746	0.2
157	0.07811	0.2
158	0.07811	0.2
159	0.07811	0.2
160	0.07811	0.2
161	0.07811	0.2
162	0.07811	0.2
163	0.07843	0.2
164	0.08188	0.2
165	0.08188	0.2
166	0.08188	0.2
167	0.08188	0.2
168	0.08188	0.2
169	0.08188	0.2
170	0.08191	0.2
171	0.08254	0.2
172	0.08254	0.2
173	0.08254	0.2
174	0.08254	0.2
175	0.08254	0.2
176	0.08254	0.2
177	0.08256	0.2
178	0.0835	0.2
179	0.0835	0.2
180	0.0835	0.2
181	0.0835	0.2
182	0.0835	0.2
183	0.0835	0.2
184	0.0835	0.2
185	0.08261	0.2
186	0.07606	0.2
187	0.07606	0.2
188	0.07606	0.2
189	0.07606	0.2
190	0.07606	0.2
191	0.07629	0.2
192	0.08121	0.2
193	0.08121	0.2
194	0.08121	0.2
195	0.08121	0.2
196	0.08121	0.2
197	0.08121	0.2
198	0.08124	0.2
199	0.08187	0.2
200	0.08187	0.2
201	0.08187	0.2
202	0.08187	0.2
203	0.08187	0.2
204	0.08187	0.2
205	0.08203	0.2
206	0.08561	0.2
207	0.08561	0.2
208	0.08561	0.2
209	0.08561	0.2
210	0.08561	0.2
211	0.08561	0.2
212	0.0856	0.2
213	0.08208	0.2
214	0.08208	0.2
215	0.08208	0.2
216	0.08208	0.2
217	0.08208	0.2
218	0.08208	0.2
219	0.08213	0.2
220	0.08477	0.2
221	0.08477	0.2
222	0.08477	0.2
223	0.08477	0.2
224	0.08477	0.2
225	0.08477	0.2
226	0.08477	0.2
227	0.08424	0.2
228	0.08066	0.2
229	0.08066	0.2
230	0.08066	0.2
231	0.08066	0.2
232	0.08066	0.2
233	0.08063	0.2
234	0.08007	0.2
235	0.08007	0.2
236	0.08007	0.2
237	0.08007	0.2
238	0.08007	0.2
239	0.08007	0.2
240	0.07998	0.2
241	0.07911	0.2
242	0.07911	0.2
243	0.07911	0.2
244	0.07911	0.2
245	0.07911	0.2
246	0.07918	0.2
247	0.08229	0.2
248	0.08229	0.2
249	0.08229	0.2
250	0.08229	0.2
251	0.08229	0.2
252	0.08229	0.2
253	0.08205	0.2
254	0.0785	0.2
255	0.0785	0.2
256	0.0785	0.2
257	0.0785	0.2
258	0.0785	0.2
259	0.07852	0.2
260	0.08372	0.2
261	0.08372	0.2
262	0.08372	0.2
263	0.08372	0.2
264	0.08372	0.2
265	0.08372	0.2
266	0.08353	0.2
267	0.07939	0.2
268	0.07939	0.2
269	0.07939	0.2
270	0.07939	0.2
271	0.07939	0.2
272	0.07939	0.2
273	0.07949	0.2
274	0.08022	0.2
275	0.08022	0.2
276	0.08022	0.2
277	0.08022	0.2
278	0.08022	0.2
279	0.08041	0.2
280	0.08267	0.2
281	0.08267	0.2
282	0.08267	0.2
283	0.08267	0.2
284	0.08267	0.2
285	0.08267	0.2
286	0.08202	0.2
287	0.07793	0.2
288	0.07793	0.2
289	0.07793	0.2
290	0.07793	0.2
291	0.07793	0.2
292	0.07809	0.2
293	0.07928	0.2
294	0.07928	0.2
295	0.07928	0.2
296	0.07928	0.2
297	0.07928	0.2
298	0.07967	0.2
299	0.08348	0.2
300	0.08348	0.2
301	0.08348	0.2
302	0.08348	0.2
