#depth	ice_age	sigma_ice_age	air_age	sigma_air_age	sigma_delta_age	deporate	sigma_deporate	thinning	sigma_thinning	LID	sigma_LID	delta_depth	sigma_delta_depth	deporate_model	sigma_deporate_model	thinning_model	sigma_thinning_model	LID_model	sigma_LID_model	icelayerthick	sigma_icelayerthick	airlayerthick	sigma_airlayerthick
0.000000000000000000e+00	-6.071276010529294354e+01	9.684333294178863127e+00	-6.071276010529294354e+01	9.684333294178863127e+00	0.000000000000000000e+00	1.402770709287896600e-01	1.730297250761522743e-02	9.996657866328568787e-01	1.162694370060934294e-03	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	8.742999999999999383e-02	1.999999999999999833e-01	9.995499999999999385e-01	1.184666677057764472e-03	0.000000000000000000e+00	2.000000000000000111e-01	1.402301884565815837e-01	1.729022642766346249e-02	1.402301884565815837e-01	0.000000000000000000e+00
1.000000000000000000e+00	-5.358162799311138969e+01	9.479760542929701828e+00	-5.358162799311138969e+01	9.479760542929701828e+00	0.000000000000000000e+00	1.411693059280469675e-01	1.691884050719357283e-02	9.994128197561717997e-01	1.615134212457706000e-03	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	8.742999999999999383e-02	2.000000000000000389e-01	9.992449999999999388e-01	1.654000031173305562e-03	0.000000000000000000e+00	2.000000000000000111e-01	1.410864141005710726e-01	1.689862524260873217e-02	1.410864141005710448e-01	0.000000000000000000e+00
2.000000000000000000e+00	-4.649377331642248379e+01	9.346435285554253625e+00	-4.649377331642248379e+01	9.346435285554253625e+00	0.000000000000000000e+00	1.420294095008096669e-01	1.670933351550017015e-02	9.991448205049054954e-01	2.082326282180468023e-03	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	8.742999999999997995e-02	2.000000000000000389e-01	9.989250000000000629e-01	2.123333385288846652e-03	0.000000000000000000e+00	2.000000000000000111e-01	1.419079488621041996e-01	1.668148996709344772e-02	1.419079488621041440e-01	0.000000000000000000e+00
3.000000000000000000e+00	-3.944695171115971277e+01	9.280304439817244955e+00	-3.944695171115971277e+01	9.280304439817244955e+00	0.000000000000000000e+00	1.428382858400721045e-01	1.647631606590470310e-02	9.988567851707684797e-01	2.556002820663484578e-03	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	8.743000000000000771e-02	1.999999999999999278e-01	9.985850000000000559e-01	2.592666739404387959e-03	0.000000000000000000e+00	1.999999999999999833e-01	1.426749909935177141e-01	1.644062160336311890e-02	nan	0.000000000000000000e+00
4.000000000000000000e+00	-3.243801487481231050e+01	9.274342967351170586e+00	nan	nan	nan	1.435905566688001900e-01	1.615820567523140391e-02	9.985537122457701642e-01	3.032964533331820086e-03	nan	nan	nan	nan	8.743000000000000771e-02	1.999999999999999556e-01	9.982299999999999507e-01	3.062000093519929265e-03	6.320744746828250271e+01	1.999999999999999833e-01	1.433828834050670520e-01	1.611456899650541910e-02	nan	0.000000000000000000e+00
5.000000000000000000e+00	-2.546368170301434475e+01	9.322192168677593926e+00	nan	nan	nan	1.443138244678758841e-01	1.609389099904196679e-02	9.982355993819428397e-01	3.511716784526588888e-03	nan	nan	nan	nan	8.742999999999995220e-02	2.000000000000000666e-01	9.978599999999999692e-01	3.531333447635470139e-03	6.316642422527470302e+01	1.999999999999999556e-01	1.440591970667905730e-01	1.604215633091124818e-02	nan	0.000000000000000000e+00
6.000000000000000000e+00	-1.852209088228828193e+01	9.416812383163289724e+00	nan	nan	nan	1.449484413670888705e-01	1.566286425143540925e-02	9.979109158074841446e-01	4.011903112003239839e-03	nan	nan	nan	nan	8.743000000000000771e-02	2.000000000000000389e-01	9.974699999999999678e-01	4.068327889341613428e-03	6.318423809042329964e+01	1.999999999999999556e-01	1.446456318694990806e-01	1.560230733305074426e-02	nan	0.000000000000000000e+00
7.000000000000000000e+00	-1.160864325808203290e+01	9.550606890409550687e+00	nan	nan	nan	1.455611137309531511e-01	1.562802324310397922e-02	9.975839281486006405e-01	4.577200256355479398e-03	nan	nan	nan	nan	8.743000000000000771e-02	2.000000000000000111e-01	9.970600000000000573e-01	4.694501965734850825e-03	6.316129083130520172e+01	2.000000000000000111e-01	1.452094276214094537e-01	1.555751644075515847e-02	nan	0.000000000000000000e+00
8.000000000000000000e+00	-4.722038053582480188e+00	9.717569837071948768e+00	nan	nan	nan	1.460835149545721967e-01	1.523498048344189976e-02	9.972368668271121006e-01	5.181081872393227677e-03	nan	nan	nan	nan	8.743000000000000771e-02	2.000000000000001221e-01	9.966300000000000159e-01	5.320676042128088222e-03	6.315271734726250230e+01	2.000000000000000111e-01	1.456798667483891474e-01	1.515469216223534754e-02	nan	0.000000000000000000e+00
9.000000000000000000e+00	2.142328466790232255e+00	9.910667510943659053e+00	nan	nan	nan	1.465693888356807140e-01	1.510028426583312489e-02	9.968797337515863388e-01	5.811341957530364276e-03	nan	nan	nan	nan	8.743000000000000771e-02	2.000000000000001499e-01	9.961900000000000199e-01	5.946850118521324752e-03	6.314760060585710022e+01	2.000000000000000111e-01	1.461120533186461290e-01	1.501035920568758592e-02	nan	0.000000000000000000e+00
1.000000000000000000e+01	8.986390796262568870e+00	1.012530394762561770e+01	nan	nan	nan	1.469886049655159677e-01	1.488251993836077307e-02	9.965125264098302349e-01	6.460058822398858508e-03	nan	nan	nan	nan	8.743000000000000771e-02	2.000000000000000389e-01	9.957400000000000695e-01	6.573024194914562149e-03	6.312546922875409905e+01	2.000000000000000111e-01	1.464759860876428399e-01	1.478326879013649314e-02	nan	0.000000000000000000e+00
1.100000000000000000e+01	1.581344843697138458e+01	1.035599008926261000e+01	nan	nan	nan	1.473445048210089703e-01	1.464193003423381288e-02	9.961302379927414741e-01	7.121959638335564717e-03	nan	nan	nan	nan	8.742999999999989669e-02	1.999999999999999833e-01	9.952750000000000208e-01	7.199198271307799546e-03	6.310912107356549683e+01	2.000000000000000111e-01	1.467743166542743172e-01	1.453362140939923504e-02	nan	0.000000000000000000e+00
1.200000000000000000e+01	2.262662953564746715e+01	1.059932726703260641e+01	nan	nan	nan	1.476560811258194605e-01	1.461176508593931174e-02	9.957478134726304164e-01	7.716905916361210468e-03	nan	nan	nan	nan	8.742999999999989669e-02	1.999999999999999556e-01	9.948049999999999393e-01	7.825372347701036943e-03	6.310532803328980123e+01	2.000000000000000111e-01	1.470282199269720702e-01	1.449352937786638207e-02	nan	0.000000000000000000e+00
1.300000000000000000e+01	2.942804494077644506e+01	1.085146907584718257e+01	nan	nan	nan	1.478773069610851698e-01	1.426174123396303783e-02	9.953685613110379027e-01	8.233283494331880212e-03	nan	nan	nan	nan	8.742999999999989669e-02	1.999999999999999556e-01	9.943299999999999361e-01	8.451546424094272605e-03	6.310333342602349660e+01	2.000000000000000111e-01	1.471924222804060767e-01	1.413221250313793226e-02	nan	0.000000000000000000e+00
1.400000000000000000e+01	3.622187294161584248e+01	1.110977077624465181e+01	nan	nan	nan	1.480743134319108256e-01	1.438832277665333913e-02	9.949842208275836430e-01	8.808159726186929467e-03	nan	nan	nan	nan	8.742999999999989669e-02	1.999999999999999556e-01	9.938500000000000112e-01	9.077720500487508268e-03	6.306767766566419908e+01	2.000000000000000111e-01	1.473316053746291932e-01	1.424792024995262703e-02	nan	0.000000000000000000e+00
1.500000000000000000e+01	4.300928286263881262e+01	1.137202058945189442e+01	nan	nan	nan	1.481565461372131021e-01	1.396739629244241922e-02	9.945947905583613080e-01	9.430634012678983102e-03	nan	nan	nan	nan	8.742999999999989669e-02	1.999999999999999833e-01	9.933650000000000535e-01	9.703894576880745665e-03	6.304061316414210125e+01	2.000000000000000111e-01	1.473557289751916688e-01	1.381694132849130979e-02	nan	0.000000000000000000e+00
1.600000000000000000e+01	4.979558161705206487e+01	1.163618062299414468e+01	nan	nan	nan	1.481447384102941578e-01	1.399082542256778472e-02	9.941952623652853260e-01	1.009165186359716609e-02	nan	nan	nan	nan	8.739000000000007873e-02	2.000000000000000111e-01	9.928699999999999193e-01	1.033006865327398133e-02	6.304158359199300321e+01	2.000000000000000389e-01	1.472847970718589583e-01	1.383088859419286457e-02	nan	0.000000000000000000e+00
1.700000000000000000e+01	5.658514863198374201e+01	1.190130101767485193e+01	nan	nan	nan	1.339642447192064822e-01	1.244656658972749866e-02	9.937856333321254398e-01	1.078391626781841604e-02	nan	nan	nan	nan	7.903999999999999915e-02	2.000000000000000111e-01	9.923649999999999416e-01	1.095624272966721699e-02	6.303440333982590005e+01	2.000000000000000389e-01	1.331317417821364646e-01	1.229378481250974729e-02	nan	0.000000000000000000e+00
1.800000000000000000e+01	6.409650532734231376e+01	1.219370399235309677e+01	nan	nan	nan	1.338813169353037791e-01	1.230977693187838493e-02	9.933761795057732824e-01	1.139847386318608782e-02	nan	nan	nan	nan	7.903999999999999915e-02	2.000000000000000389e-01	9.918599999999999639e-01	1.158241680606045439e-02	6.302444855894999876e+01	2.000000000000000111e-01	1.329945111243936440e-01	1.214745839079573245e-02	nan	0.000000000000000000e+00
1.900000000000000000e+01	7.161561263143752853e+01	1.248482948040736851e+01	nan	nan	nan	1.337525800943915877e-01	1.242075304218396604e-02	9.929671751073430030e-01	1.186632126806999588e-02	nan	nan	nan	nan	7.903999999999999915e-02	2.000000000000000666e-01	9.913549999999999862e-01	1.220859088245369352e-02	6.302878126748939991e+01	1.999999999999999833e-01	1.328119216196466390e-01	1.224575866030881179e-02	nan	0.000000000000000000e+00
2.000000000000000000e+01	7.914505718584922533e+01	1.277357159957367827e+01	nan	nan	nan	1.335189196201128636e-01	1.209602481713664517e-02	9.925480643092400301e-01	1.241108571354318339e-02	nan	nan	nan	nan	7.903999999999999915e-02	2.000000000000000389e-01	9.908399999999999430e-01	1.283476495884693439e-02	6.303325013979250002e+01	1.999999999999999833e-01	1.325239452176040222e-01	1.190913139734173058e-02	nan	0.000000000000000000e+00
2.100000000000000000e+01	8.669086332947105689e+01	1.305978377950328451e+01	nan	nan	nan	1.332465592315018876e-01	1.212920736232672887e-02	9.921238532764833362e-01	1.302292359649527900e-02	nan	nan	nan	nan	7.903999999999999915e-02	2.000000000000000111e-01	9.903200000000000891e-01	1.346093903524017352e-02	6.298334948865829830e+01	2.000000000000000111e-01	1.321970897805908318e-01	1.193140739300250358e-02	nan	0.000000000000000000e+00
2.200000000000000000e+01	9.425532637218790910e+01	1.334334538906133183e+01	nan	nan	nan	1.329025223939282740e-01	1.203936254389364330e-02	9.916945405306912820e-01	1.369260858843282178e-02	nan	nan	nan	nan	7.903999999999999915e-02	2.000000000000000666e-01	9.897949999999999804e-01	1.408711311163341265e-02	6.298992926953420124e+01	2.000000000000000111e-01	1.317987058808166023e-01	1.183153485317740491e-02	nan	0.000000000000000000e+00
2.300000000000000000e+01	1.018426542849846044e+02	1.362397366564073842e+01	nan	nan	nan	1.324918298882082068e-01	1.187662422919423186e-02	9.912601245931960126e-01	1.441184790594505702e-02	nan	nan	nan	nan	7.903999999999977710e-02	1.999999999999999556e-01	9.892650000000000610e-01	1.471328718802665178e-02	6.294060985449719681e+01	2.000000000000000389e-01	1.313338678025657846e-01	1.165967379240527048e-02	nan	0.000000000000000000e+00
2.400000000000000000e+01	1.094568364965623459e+02	1.390241348629615636e+01	nan	nan	nan	1.320451504324027248e-01	1.207784932756643219e-02	9.908166016067859738e-01	1.504876771404891483e-02	nan	nan	nan	nan	7.903999999999999915e-02	1.999999999999997891e-01	9.887299999999999978e-01	1.533946126441988918e-02	6.289883622256480322e+01	2.000000000000000111e-01	1.308325272100900882e-01	1.185003024416869492e-02	nan	0.000000000000000000e+00
2.500000000000000000e+01	1.171001956926604635e+02	1.417878838172311795e+01	nan	nan	nan	1.314887299749509519e-01	1.176160898776213923e-02	9.903533920127767232e-01	1.546684611786745475e-02	nan	nan	nan	nan	7.903999999999999915e-02	1.999999999999999556e-01	9.881849999999999801e-01	1.596563534081312311e-02	6.288936996339249674e+01	2.000000000000000111e-01	1.302203097421447409e-01	1.151679343977851135e-02	nan	0.000000000000000000e+00
2.600000000000000000e+01	1.247794893602930131e+02	1.445404184478562470e+01	nan	nan	nan	1.308951532876658219e-01	1.176716227891023460e-02	9.898900978755365010e-01	1.598006771543689780e-02	nan	nan	nan	nan	7.903999999999999915e-02	2.000000000000000666e-01	9.876399999999999624e-01	1.659180941720635530e-02	6.286288929841379769e+01	1.999999999999999833e-01	1.295718160993608870e-01	1.150719691475044285e-02	nan	0.000000000000000000e+00
2.700000000000000000e+01	1.324972171046750020e+02	1.472888196969030083e+01	nan	nan	nan	1.302422262360575234e-01	1.176324606429751500e-02	9.894267191841530362e-01	1.657931130924050755e-02	nan	nan	nan	nan	7.903999999999999915e-02	2.000000000000001221e-01	9.870950000000000557e-01	1.721798349359959096e-02	6.286395572116629893e+01	2.000000000000000111e-01	1.288651386039826041e-01	1.148972131074294661e-02	nan	0.000000000000000000e+00
2.800000000000000000e+01	1.402572677346061596e+02	1.500372085889279106e+01	nan	nan	nan	1.295802025947528913e-01	1.156795780372997864e-02	9.889582436969284185e-01	1.725525316720149041e-02	nan	nan	nan	nan	7.907999999999981711e-02	1.999999999999999556e-01	9.865450000000000053e-01	1.784415756999282315e-02	6.290913133970860116e+01	2.000000000000000111e-01	1.281494095759989904e-01	1.128180043365131953e-02	nan	0.000000000000000000e+00
2.900000000000000000e+01	1.480606591299207935e+02	1.527995003785962425e+01	nan	nan	nan	1.314532004767059725e-01	1.197419788313454012e-02	9.884846701435429095e-01	1.799896705627714727e-02	nan	nan	nan	nan	8.069000000000015049e-02	1.999999999999997613e-01	9.859899999999999221e-01	1.847033164638605882e-02	6.287808369608929837e+01	2.000000000000000389e-01	1.299394735125297129e-01	1.167199152292460948e-02	nan	0.000000000000000000e+00
3.000000000000000000e+01	1.557565499394489166e+02	1.555259291322661674e+01	nan	nan	nan	1.306286863392760733e-01	1.167853272057943828e-02	9.880029953164191081e-01	1.865785658241381553e-02	nan	nan	nan	nan	8.069000000000015049e-02	2.000000000000000666e-01	9.854300000000000281e-01	1.909650572277929101e-02	6.288362054181730088e+01	2.000000000000000389e-01	1.290615333774537687e-01	1.136255142318681917e-02	nan	0.000000000000000000e+00
3.100000000000000000e+01	1.635047919898156863e+02	1.582751201270151142e+01	nan	nan	nan	1.298078054252956581e-01	1.165227603787175568e-02	9.875082009272398986e-01	1.902652241134553807e-02	nan	nan	nan	nan	8.069000000000015049e-02	2.000000000000001776e-01	9.848649999999999904e-01	1.972267979917253014e-02	6.286328673998659866e+01	2.000000000000000111e-01	1.281862724018469346e-01	1.131440885522133795e-02	nan	0.000000000000000000e+00
3.200000000000000000e+01	1.713059393456349824e+02	1.610425784430576357e+01	nan	nan	nan	1.289899889836953750e-01	1.159721340454634639e-02	9.870083157114298844e-01	1.950821949921531170e-02	nan	nan	nan	nan	8.069000000000015049e-02	1.999999999999999278e-01	9.842950000000000310e-01	2.034885387556576927e-02	6.288446716754889820e+01	1.999999999999999833e-01	1.273141917704330717e-01	1.124000399313872592e-02	nan	0.000000000000000000e+00
3.300000000000000000e+01	1.791605232383965358e+02	1.638128884420877540e+01	nan	nan	nan	1.281823799097114858e-01	1.137356627487269740e-02	9.865033385685165745e-01	2.009445170271732806e-02	nan	nan	nan	nan	8.069000000000015049e-02	1.999999999999999833e-01	9.837200000000000388e-01	2.097502795195900840e-02	6.286970006380720122e+01	1.999999999999999833e-01	1.264523457265883388e-01	1.099872610186342255e-02	nan	0.000000000000000000e+00
3.400000000000000000e+01	1.870686406738940946e+02	1.665754515702241889e+01	nan	nan	nan	1.273817294507282594e-01	1.154476630053716084e-02	9.859882538868703916e-01	2.077590265499562258e-02	nan	nan	nan	nan	8.069000000000015049e-02	2.000000000000001221e-01	9.831350000000000922e-01	2.160120202835224754e-02	6.286530091798650233e+01	2.000000000000000111e-01	1.255968889982132797e-01	1.115706918888901937e-02	nan	0.000000000000000000e+00
3.500000000000000000e+01	1.950306213246586537e+02	1.693222288979921331e+01	nan	nan	nan	1.265935335503547976e-01	1.115078539147355309e-02	9.854730892236766016e-01	2.154337739895089907e-02	nan	nan	nan	nan	8.069000000000015049e-02	2.000000000000000666e-01	9.825500000000000345e-01	2.222737610474548320e-02	6.287517703893750110e+01	2.000000000000000111e-01	1.247545205836092935e-01	1.074966651121916222e-02	nan	0.000000000000000000e+00
3.600000000000000000e+01	2.030463629212111414e+02	1.720328989020540789e+01	nan	nan	nan	1.258123914318392822e-01	1.114591193880625289e-02	9.849593299544002756e-01	2.222176447420039572e-02	nan	nan	nan	nan	8.069000000000015049e-02	2.000000000000000389e-01	9.819649999999999768e-01	2.285355018113872233e-02	6.287338881065549856e+01	2.000000000000000111e-01	1.239200887646651483e-01	1.073119572090414260e-02	nan	0.000000000000000000e+00
3.700000000000000000e+01	2.111160795423724039e+02	1.747027739539208468e+01	nan	nan	nan	1.250415048670132645e-01	1.099242345168262996e-02	9.844446722292484742e-01	2.254295729219179742e-02	nan	nan	nan	nan	8.069000000000015049e-02	2.000000000000000944e-01	9.813749999999999973e-01	2.347972425753195452e-02	6.288300903557409782e+01	2.000000000000000111e-01	1.230964432738588521e-01	1.055134700308244314e-02	nan	0.000000000000000000e+00
3.800000000000000000e+01	2.192397911087192028e+02	1.773136438690007566e+01	nan	nan	nan	1.242804217765675484e-01	1.081424512558925959e-02	9.839249117586754689e-01	2.299503153179943346e-02	nan	nan	nan	nan	8.069000000000015049e-02	2.000000000000000944e-01	9.807799999999999851e-01	2.410589833392518672e-02	6.286212002699910073e+01	2.000000000000000111e-01	1.222826030298401895e-01	1.035020512580464049e-02	nan	0.000000000000000000e+00
3.900000000000000000e+01	2.274175692654040972e+02	1.798594307136001902e+01	nan	nan	nan	1.234349896764451865e-01	1.089321152819408209e-02	9.834000473529853625e-01	2.357002457707409876e-02	nan	nan	nan	nan	8.063000000000020151e-02	2.000000000000000111e-01	9.801800000000000512e-01	2.473207241031841891e-02	6.285607894432529719e+01	2.000000000000000111e-01	1.213859746928314526e-01	1.041332151210999472e-02	nan	0.000000000000000000e+00
