
#depth [m];	speleo age [years];	uncertainty [years]

1498.975422	105900	2303.84
1530.118237	108600	2303.84
1609.040851	117400	2303.84
1641.772475	120200	2303.84
1855.518453	129000	2303.84
1979.937045	134800	2303.84
2037.444804	143500	2303.84
2103.510066	149000	2303.84
2222.379847	166000	2860.11
2288.425993	170800	2860.11
2311.068576	173000	2860.11
2331.906733	175500	2860.11
2353.606659	178900	2860.11
2409.780358	188100	3282.54
2439.652418	192500	3282.54
2610.713207	209500	3282.54
2640.617074	218400	3282.54
2691.196343	226200	2303.84
2721.821398	233700	2486.61
2770.691911	241800	2140.18
2795.896743	245800	2140.18
2809.788417	248400	2140.18
2867.974707	264100	2140.18
2882.423439	273400	3459.67
2898.061516	278600	3459.67
2906.403056	281400	3459.67
2951.464634	288600	3459.67
2963.853342	291300	3459.67
2979.209152	293500	3459.67
2989.447440	301100	2941.65
3002.076615	303800	2941.65
3019.183984	307800	2941.65
3050.795292	315600	2303.84
3085.371706	324900	2303.84
3118.178134	333700	2303.84
3161.244525	341400	2421.27
		
		
		
		
		
		
		
		
		
		
		
		
		
		

		
		
		
		
		
		
		
		
		
		
		
		
		
		

