#depth	ice_age	sigma_ice_age	air_age	sigma_air_age	sigma_delta_age	deporate	sigma_deporate	thinning	sigma_thinning	LID	sigma_LID	delta_depth	sigma_delta_depth	deporate_model	sigma_deporate_model	thinning_model	sigma_thinning_model	LID_model	sigma_LID_model	icelayerthick	sigma_icelayerthick	airlayerthick	sigma_airlayerthick
0.000000000000000000e+00	-4.988546968794319980e+01	9.974634952859050330e+00	nan	nan	nan	2.149934543662098893e-02	3.648228110175447212e-03	9.947300724375662817e-01	4.461889831214868661e-04	nan	nan	nan	nan	2.188800000000000121e-02	2.000390227374390928e-01	9.947300000000000031e-01	4.598282937833871194e-04	9.995369456253919793e+01	2.000000000000000111e-01	5.583823875595367303e-02	9.475108924175417932e-03	nan	0.000000000000000000e+00
1.000000000000000000e+00	-3.197659537028080123e+01	1.031146860671761445e+01	nan	nan	nan	2.149277109023860557e-02	3.616412748732548456e-03	9.942701890860455860e-01	5.380515310050432154e-04	nan	nan	nan	nan	2.188899999999999527e-02	2.001401771936745788e-01	9.942699999999999871e-01	5.667015603656133617e-04	9.993837724881490203e+01	2.000000000000000111e-01	5.507634426771811781e-02	9.267120442044161910e-03	nan	0.000000000000000000e+00
2.000000000000000000e+00	-1.381997997948533907e+01	1.146820153261734099e+01	nan	nan	nan	2.148771590934683146e-02	3.588130126144394548e-03	9.938103056265723545e-01	6.367510628330137106e-04	nan	nan	nan	nan	2.189100000000000767e-02	2.002818102830419833e-01	9.938099999999999712e-01	6.735748269478396581e-04	9.992305993509050666e+01	1.999999999999999833e-01	5.419978049513943241e-02	9.050404198414621279e-03	nan	0.000000000000000000e+00
3.000000000000000000e+00	4.630279244160021790e+00	1.322847820417497111e+01	nan	nan	nan	2.148234922689217299e-02	3.561791410374635231e-03	9.933604220633958093e-01	7.395145571059242532e-04	nan	nan	nan	nan	2.189199999999999480e-02	2.004239192982131545e-01	9.933600000000000207e-01	7.804480935300658461e-04	9.991064966745740605e+01	2.000000000000000111e-01	5.334928873734717802e-02	8.845171967537018148e-03	nan	0.000000000000000000e+00
4.000000000000000000e+00	2.337467160004067068e+01	1.538240965780582314e+01	nan	nan	nan	2.147867219014345727e-02	3.537191019500415898e-03	9.929005383891914560e-01	8.448072059445723130e-04	nan	nan	nan	nan	2.189399999999999680e-02	2.005669583018167834e-01	9.929000000000000048e-01	8.873213601122921425e-04	9.991588896877080117e+01	2.000000000000000111e-01	5.239848938938180406e-02	8.628975564345333152e-03	nan	0.000000000000000000e+00
5.000000000000000000e+00	4.245919124275089018e+01	1.778851102175509880e+01	nan	nan	nan	2.147476786672837881e-02	3.507975457787890477e-03	9.924406546070346780e-01	9.517569410695639635e-04	nan	nan	nan	nan	2.189499999999999780e-02	2.007178675423005321e-01	9.924399999999999888e-01	9.941946266945184390e-04	9.990335845278690385e+01	2.000000000000000111e-01	5.147930598838170585e-02	8.409082012390439384e-03	nan	0.000000000000000000e+00
6.000000000000000000e+00	6.188447254366214167e+01	2.035432464306589395e+01	nan	nan	nan	2.147267713197854866e-02	3.473198757124055982e-03	9.919807707169251421e-01	1.059828721681398524e-03	nan	nan	nan	nan	2.189699999999999980e-02	2.008602971102440293e-01	9.919799999999999729e-01	1.101067893276744735e-03	9.988980535683309370e+01	2.000000000000000111e-01	5.071543526365660665e-02	8.202946254217375471e-03	nan	0.000000000000000000e+00
7.000000000000000000e+00	8.160233545465275995e+01	2.301584910633709313e+01	nan	nan	nan	2.147042223377126566e-02	3.441197229346544366e-03	9.915208867188635145e-01	1.168680955038676030e-03	nan	nan	nan	nan	2.189800000000000080e-02	2.010021738852243722e-01	9.915199999999999569e-01	1.207941159858970815e-03	9.987625233591730023e+01	2.000000000000000111e-01	4.985567234533322400e-02	7.990395835289498122e-03	nan	0.000000000000000000e+00
8.000000000000000000e+00	1.016602336427133224e+02	2.574400483880995694e+01	nan	nan	nan	2.008078888152655186e-02	3.192919232276027197e-03	9.910610026128493510e-01	1.278086512398705172e-03	nan	nan	nan	nan	2.048300000000000121e-02	2.011406543445275474e-01	9.910600000000000520e-01	1.314814426441197111e-03	9.986269923996360376e+01	2.000000000000000111e-01	4.575008451076473942e-02	7.274150937145331883e-03	nan	0.000000000000000000e+00
9.000000000000000000e+00	1.235181167634473383e+02	2.871375679348727061e+01	nan	nan	nan	2.149890667606360606e-02	3.394237531248199980e-03	9.906011183988826518e-01	1.387889027635161960e-03	nan	nan	nan	nan	2.193100000000000604e-02	2.012865356925886695e-01	9.906000000000000361e-01	1.421687693023423408e-03	9.984914618152879484e+01	2.000000000000000111e-01	4.818289818475522679e-02	7.606775461354507196e-03	nan	0.000000000000000000e+00
1.000000000000000000e+01	1.442723685348028653e+02	3.151390191022298737e+01	nan	nan	nan	2.212194709239749535e-02	3.467922600636504961e-03	9.901412340769630838e-01	1.497977589440733148e-03	nan	nan	nan	nan	2.256700000000000372e-02	2.014301707648789019e-01	9.901400000000000201e-01	1.528560959605649704e-03	9.983714254466849525e+01	2.000000000000000111e-01	4.878363473107292375e-02	7.647169103057230820e-03	nan	0.000000000000000000e+00
